Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2011,FEMALE,HISPANIC,Isabella,331,1
2011,FEMALE,HISPANIC,Mia,229,2
2011,FEMALE,WHITE NON HISPANIC,Esther,224,1
2011,FEMALE,HISPANIC,Sophia,223,3
2011,FEMALE,WHITE NON HISPANIC,Emma,213,2
2011,FEMALE,WHITE NON HISPANIC,Olivia,213,2
2011,FEMALE,WHITE NON HISPANIC,Leah,183,3
2011,FEMALE,WHITE NON HISPANIC,Sophia,180,4
2011,FEMALE,WHITE NON HISPANIC,Chaya,178,5
2011,FEMALE,WHITE NON HISPANIC,Sarah,177,6
2011,FEMALE,WHITE NON HISPANIC,Rachel,171,7
2011,FEMALE,HISPANIC,Sofia,165,6
2011,FEMALE,WHITE NON HISPANIC,Ava,162,8
2011,FEMALE,WHITE NON HISPANIC,Isabella,160,9
2011,FEMALE,WHITE NON HISPANIC,Chana,132,10
2011,FEMALE,WHITE NON HISPANIC,Miriam,131,11
2011,FEMALE,WHITE NON HISPANIC,Charlotte,127,12
2011,FEMALE,WHITE NON HISPANIC,Ella,127,12
2011,FEMALE,HISPANIC,Hailey,126,8
2011,FEMALE,HISPANIC,Leah,123,9
2011,FEMALE,HISPANIC,Madison,122,10
2011,FEMALE,WHITE NON HISPANIC,Sofia,122,13
2011,FEMALE,WHITE NON HISPANIC,Emily,119,14
2011,FEMALE,WHITE NON HISPANIC,Julia,116,15
2011,FEMALE,WHITE NON HISPANIC,Mia,116,15
2011,FEMALE,HISPANIC,Victoria,114,11
2011,FEMALE,WHITE NON HISPANIC,Rivka,113,16
2011,FEMALE,HISPANIC,Melanie,109,12
2011,FEMALE,WHITE NON HISPANIC,Alexandra,109,17
2011,FEMALE,WHITE NON HISPANIC,Sara,107,18
2011,FEMALE,HISPANIC,Kimberly,103,13
2011,FEMALE,WHITE NON HISPANIC,Abigail,103,19
2011,FEMALE,WHITE NON HISPANIC,Gabriella,102,20
2011,FEMALE,HISPANIC,Samantha,100,14
2011,FEMALE,WHITE NON HISPANIC,Elizabeth,100,21
2011,FEMALE,WHITE NON HISPANIC,Chloe,95,22
2011,FEMALE,WHITE NON HISPANIC,Maya,94,23
2011,FEMALE,WHITE NON HISPANIC,Grace,93,24
2011,FEMALE,HISPANIC,Olivia,86,18
2011,FEMALE,HISPANIC,Valentina,85,19
2011,FEMALE,WHITE NON HISPANIC,Anna,85,25
2011,FEMALE,WHITE NON HISPANIC,Victoria,84,26
2011,FEMALE,HISPANIC,Kaylee,83,20
2011,FEMALE,WHITE NON HISPANIC,Gitty,82,27
2011,FEMALE,WHITE NON HISPANIC,Lily,81,28
2011,FEMALE,WHITE NON HISPANIC,Samantha,74,29
2011,FEMALE,WHITE NON HISPANIC,Faigy,72,30
2011,FEMALE,HISPANIC,Nicole,71,25
2011,FEMALE,WHITE NON HISPANIC,Hannah,71,31
2011,FEMALE,WHITE NON HISPANIC,Stella,69,32
2011,FEMALE,WHITE NON HISPANIC,Gianna,68,33
2011,FEMALE,HISPANIC,Leslie,66,27
2011,FEMALE,HISPANIC,Scarlett,65,28
2011,FEMALE,HISPANIC,Zoe,65,28
2011,FEMALE,WHITE NON HISPANIC,Sophie,65,34
2011,FEMALE,WHITE NON HISPANIC,Eva,64,35
2011,FEMALE,WHITE NON HISPANIC,Malka,63,36
2011,FEMALE,HISPANIC,Kayla,62,31
2011,FEMALE,WHITE NON HISPANIC,Amelia,62,37
2011,FEMALE,HISPANIC,Katherine,60,33
2011,FEMALE,HISPANIC,Jennifer,59,34
2011,FEMALE,HISPANIC,Maria,59,34
2011,FEMALE,WHITE NON HISPANIC,Malky,59,38
2011,FEMALE,HISPANIC,Khloe,57,35
2011,FEMALE,WHITE NON HISPANIC,Madison,57,39
2011,FEMALE,WHITE NON HISPANIC,Alexa,54,40
2011,FEMALE,WHITE NON HISPANIC,Rebecca,54,40
2011,FEMALE,HISPANIC,Sarah,53,38
2011,FEMALE,HISPANIC,Valerie,53,38
2011,FEMALE,HISPANIC,Layla,52,39
2011,FEMALE,WHITE NON HISPANIC,Avery,52,41
2011,FEMALE,WHITE NON HISPANIC,Caroline,52,41
2011,FEMALE,HISPANIC,Jayleen,51,40
2011,FEMALE,HISPANIC,Michelle,51,40
2011,FEMALE,WHITE NON HISPANIC,Raizy,51,42
2011,FEMALE,HISPANIC,Jade,50,41
2011,FEMALE,HISPANIC,Melissa,50,41
2011,FEMALE,HISPANIC,Natalia,50,41
2011,FEMALE,HISPANIC,Stephanie,50,41
2011,FEMALE,WHITE NON HISPANIC,Alice,50,43
2011,FEMALE,WHITE NON HISPANIC,Angelina,50,43
2011,FEMALE,HISPANIC,Gianna,49,42
2011,FEMALE,HISPANIC,Maya,49,42
2011,FEMALE,WHITE NON HISPANIC,Shaindy,48,44
2011,FEMALE,WHITE NON HISPANIC,Lillian,47,45
2011,FEMALE,WHITE NON HISPANIC,Lucy,47,45
2011,FEMALE,HISPANIC,Jessica,46,44
2011,FEMALE,HISPANIC,Jocelyn,46,44
2011,FEMALE,HISPANIC,Natalie,46,44
2011,FEMALE,WHITE NON HISPANIC,Chava,46,46
2011,FEMALE,WHITE NON HISPANIC,Naomi,46,46
2011,FEMALE,HISPANIC,Valeria,45,45
2011,FEMALE,WHITE NON HISPANIC,Kayla,45,47
2011,FEMALE,WHITE NON HISPANIC,Nicole,45,47
2011,FEMALE,WHITE NON HISPANIC,Devorah,44,48
2011,FEMALE,WHITE NON HISPANIC,Katherine,44,48
2011,FEMALE,WHITE NON HISPANIC,Rivky,43,49
2011,FEMALE,HISPANIC,Vanessa,42,47
2011,FEMALE,HISPANIC,Jasmine,41,48
2011,FEMALE,HISPANIC,Karen,41,48
2011,FEMALE,HISPANIC,Kelly,41,48
2011,FEMALE,WHITE NON HISPANIC,Daniella,41,50
2011,FEMALE,WHITE NON HISPANIC,Dina,41,50
2011,FEMALE,WHITE NON HISPANIC,Giuliana,41,50
2011,FEMALE,WHITE NON HISPANIC,Baila,40,51
2011,FEMALE,WHITE NON HISPANIC,Natalie,40,51
